iter	Passed	Remaining
178	3046	13974
179	3065	13966
180	3080	13938
181	3098	13927
182	3129	13972
183	3164	14034
184	3209	14139
185	3249	14220
186	3281	14266
187	3324	14360
188	3355	14397
189	3373	14382
190	3391	14365
191	3413	14364
192	3431	14348
193	3457	14364
194	3483	14380
195	3512	14407
196	3538	14422
197	3562	14429
198	3581	14416
199	3602	14409
200	3623	14403
201	3644	14396
202	3665	14389
203	3686	14385
204	3705	14368
205	3726	14364
206	3751	14370
207	3775	14377
208	3798	14374
209	3819	14369
210	3840	14362
211	3865	14368
212	3885	14356
213	3909	14358
214	3934	14366
215	3958	14366
216	3979	14359
217	4001	14352
218	4017	14326
219	4035	14308
220	4056	14297
221	4074	14280
222	4096	14273
223	4116	14259
224	4131	14232
225	4151	14217
226	4173	14212
227	4193	14197
228	4214	14190
229	4235	14180
230	4254	14163
231	4279	14166
232	4312	14194
233	4360	14273
234	4408	14352
235	4463	14449
236	4479	14421
237	4499	14404
238	4520	14392
239	4537	14368
240	4556	14348
241	4568	14310
242	4588	14293
243	4608	14277
244	4619	14235
245	4631	14196
246	4647	14166
247	4656	14121
248	4674	14097
249	4689	14069
250	4703	14034
251	4717	14001
252	4733	13976
253	4745	13938
254	4763	13915
255	4780	13892
256	4792	13855
257	4805	13821
258	4824	13802
259	4849	13803
260	4873	13799
261	4894	13786
262	4923	13796
263	4946	13790
264	4968	13780
265	4987	13763
266	5008	13750
267	5027	13732
268	5044	13709
269	5054	13666
270	5071	13642
271	5089	13621
272	5100	13583
273	5116	13557
274	5133	13533
275	5145	13496
276	5159	13468
277	5173	13435
278	5185	13399
279	5200	13373
280	5211	13333
281	5226	13307
282	5242	13281
283	5252	13243
284	5269	13219
285	5289	13204
286	5302	13171
287	5316	13142
288	5327	13106
289	5339	13073
290	5366	13076
291	5400	13095
292	5428	13098
293	5459	13109
294	5494	13131
295	5522	13134
296	5548	13132
297	5577	13139
298	5607	13147
299	5619	13112
300	5634	13085
301	5644	13046
302	5659	13018
303	5677	12997
304	5687	12960
305	5703	12934
306	5720	12912
307	5733	12880
308	5746	12851
309	5764	12830
310	5775	12795
311	5792	12773
312	5810	12752
313	5821	12717
314	5836	12692
315	5853	12670
316	5866	12639
317	5881	12613
318	5897	12589
319	5908	12555
320	5925	12533
321	5944	12517
322	5956	12483
323	5969	12454
324	5985	12432
325	5996	12398
326	6013	12376
327	6031	12356
328	6043	12324
329	6058	12301
330	6075	12278
331	6087	12249
332	6103	12224
333	6120	12203
334	6132	12172
335	6147	12148
336	6161	12121
337	6172	12089
338	6188	12067
339	6203	12041
340	6213	12007
341	6229	11985
342	6241	11954
343	6256	11930
344	6274	11911
345	6287	11884
346	6300	11856
347	6316	11835
348	6328	11803
349	6342	11779
350	6353	11748
351	6365	11719
352	6383	11699
353	6393	11667
354	6408	11643
355	6419	11612
356	6432	11585
357	6447	11562
358	6458	11532
359	6473	11508
360	6484	11478
361	6518	11487
362	6546	11487
363	6583	11502
364	6612	11504
365	6651	11521
366	6678	11519
367	6707	11520
368	6735	11517
369	6747	11489
370	6767	11473
371	6787	11458
372	6798	11428
373	6813	11405
374	6830	11383
375	6842	11355
376	6858	11333
377	6869	11304
378	6880	11273
379	6894	11249
380	6907	11222
381	6921	11197
382	6932	11168
383	6946	11142
384	6961	11120
385	6972	11090
386	6986	11066
387	6997	11036
388	7008	11008
389	7023	10986
390	7035	10958
391	7050	10935
392	7068	10917
393	7080	10889
394	7094	10865
395	7110	10846
396	7122	10819
397	7138	10797
398	7148	10767
399	7162	10744
400	7178	10722
401	7188	10693
402	7202	10669
403	7215	10644
404	7228	10619
405	7244	10598
406	7255	10571
407	7270	10548
408	7280	10520
409	7293	10495
410	7310	10476
411	7322	10451
412	7340	10433
413	7358	10415
414	7368	10387
415	7384	10366
416	7401	10348
417	7412	10320
418	7427	10298
419	7443	10278
420	7453	10251
421	7469	10230
422	7481	10204
423	7494	10181
424	7513	10164
425	7526	10141
426	7540	10118
427	7557	10100
428	7570	10076
429	7583	10051
430	7603	10037
431	7620	10019
432	7659	10029
433	7689	10027
434	7729	10038
435	7763	10042
436	7793	10040
437	7822	10037
438	7858	10042
439	7870	10017
440	7882	9991
441	7897	9970
442	7907	9942
443	7923	9922
444	7940	9903
445	7951	9876
446	7967	9856
447	7978	9830
448	7990	9806
449	8006	9785
450	8017	9759
451	8036	9743
452	8051	9722
453	8061	9695
454	8082	9681
455	8098	9661
456	8109	9635
457	8125	9615
458	8141	9596
459	8153	9571
460	8167	9549
461	8178	9523
462	8191	9500
463	8208	9482
464	8231	9470
465	8244	9447
466	8258	9426
467	8270	9401
468	8281	9376
469	8299	9358
470	8310	9334
471	8325	9313
472	8342	9295
473	8352	9268
474	8371	9252
475	8382	9227
476	8393	9203
477	8413	9187
478	8427	9166
479	8438	9141
480	8455	9123
481	8465	9097
482	8481	9078
483	8497	9059
484	8509	9035
485	8524	9015
486	8537	8992
487	8548	8969
488	8566	8951
489	8575	8925
490	8592	8907
491	8608	8888
492	8618	8863
493	8633	8843
494	8643	8817
495	8659	8798
496	8675	8780
497	8687	8757
498	8705	8739
499	8720	8720
500	8731	8696
501	8747	8677
502	8777	8672
503	8804	8664
504	8835	8660
505	8880	8670
506	8909	8663
507	8936	8654
508	8963	8646
509	8996	8643
510	9009	8622
511	9024	8601
512	9042	8583
513	9053	8560
514	9067	8539
515	9085	8522
516	9098	8499
517	9115	8482
518	9132	8463
519	9145	8442
520	9156	8418
521	9167	8394
522	9181	8374
523	9206	8363
524	9226	8347
525	9246	8331
526	9259	8310
527	9271	8287
528	9288	8270
529	9309	8255
530	9325	8236
531	9339	8215
532	9357	8198
533	9376	8182
534	9389	8160
535	9403	8140
536	9422	8124
537	9433	8100
538	9450	8083
539	9469	8066
540	9493	8054
541	9504	8031
542	9518	8010
543	9532	7990
544	9544	7968
545	9561	7950
546	9579	7933
547	9591	7911
548	9608	7893
549	9626	7876
550	9644	7858
551	9655	7836
552	9673	7819
553	9689	7800
554	9713	7787
555	9724	7765
556	9740	7746
557	9757	7728
558	9768	7706
559	9783	7687
560	9801	7669
561	9811	7647
562	9828	7628
563	9845	7611
564	9859	7590
565	9874	7571
566	9894	7556
567	9950	7567
568	9984	7563
569	10021	7560
570	10043	7546
571	10057	7525
572	10073	7506
573	10091	7489
574	10106	7470
575	10122	7451
576	10139	7433
577	10150	7410
578	10165	7391
579	10182	7373
580	10203	7358
581	10213	7335
582	10230	7317
583	10251	7302
584	10268	7284
585	10281	7263
586	10298	7245
587	10315	7227
588	10326	7205
589	10341	7186
590	10358	7168
591	10371	7148
592	10387	7129
593	10404	7111
594	10426	7097
595	10439	7076
596	10453	7056
597	10469	7038
598	10482	7017
599	10498	6998
600	10506	6975
601	10520	6955
602	10535	6936
603	10546	6914
604	10562	6896
605	10578	6878
606	10593	6858
607	10610	6841
608	10631	6825
609	10652	6810
610	10663	6788
611	10680	6771
612	10699	6754
613	10709	6732
614	10725	6714
615	10742	6696
616	10751	6673
617	10768	6656
618	10778	6634
619	10793	6615
620	10807	6595
621	10818	6574
622	10835	6556
623	10848	6537
624	10860	6516
625	10876	6498
626	10887	6477
627	10902	6458
628	10919	6440
629	10945	6428
630	10976	6418
631	11019	6416
632	11059	6411
633	11090	6402
634	11129	6397
635	11160	6387
636	11178	6370
637	11193	6351
638	11204	6329
639	11220	6311
640	11231	6290
641	11246	6271
642	11262	6253
643	11274	6232
644	11288	6212
645	11303	6194
646	11314	6173
647	11330	6154
648	11341	6134
649	11355	6114
650	11370	6095
651	11381	6074
652	11421	6069
653	11440	6052
654	11452	6031
655	11465	6012
656	11476	5991
657	11490	5972
658	11506	5953
659	11518	5933
660	11533	5915
661	11553	5899
662	11573	5882
663	11599	5869
664	11609	5848
665	11629	5832
666	11649	5816
667	11669	5799
668	11681	5779
669	11696	5760
670	11712	5742
671	11722	5721
672	11738	5703
673	11755	5685
674	11766	5665
675	11783	5647
676	11799	5629
677	11811	5609
678	11829	5592
679	11845	5574
680	11856	5554
681	11869	5534
682	11887	5517
683	11898	5497
684	11914	5478
685	11932	5462
686	11943	5441
687	11958	5423
688	11970	5403
689	11983	5383
690	12003	5367
691	12017	5348
692	12029	5328
693	12046	5311
694	12078	5300
695	12102	5285
696	12130	5273
697	12159	5260
698	12182	5246
699	12211	5233
700	12241	5221
701	12256	5202
702	12266	5182
703	12278	5162
704	12295	5144
705	12308	5125
706	12322	5106
707	12341	5090
708	12351	5069
709	12366	5051
710	12385	5034
711	12397	5014
712	12412	4996
713	12422	4975
714	12434	4956
715	12452	4939
716	12464	4919
717	12477	4900
718	12492	4882
719	12505	4863
720	12523	4846
721	12540	4828
722	12551	4808
723	12567	4790
724	12579	4771
725	12592	4752
726	12609	4735
727	12619	4715
728	12635	4697
729	12645	4676
730	12661	4659
731	12677	4641
732	12691	4622
733	12705	4604
734	12717	4585
735	12728	4565
736	12743	4547
737	12757	4528
738	12771	4510
739	12780	4490
740	12796	4472
741	12812	4455
742	12835	4439
743	12845	4420
744	12857	4400
745	12880	4385
746	12905	4371
747	12915	4351
748	12931	4333
749	12941	4313
750	12953	4294
751	12969	4277
752	12993	4262
753	13005	4243
754	13020	4225
755	13036	4207
756	13058	4191
757	13069	4172
758	13085	4154
759	13103	4138
760	13116	4119
761	13129	4100
762	13153	4085
763	13183	4072
764	13219	4061
765	13250	4047
766	13278	4033
767	13300	4018
768	13318	4000
769	13333	3982
770	13354	3966
771	13365	3947
772	13376	3928
773	13387	3908
774	13400	3890
775	13416	3872
776	13427	3853
777	13448	3837
778	13459	3818
779	13473	3800
780	13486	3781
781	13498	3762
782	13511	3744
783	13525	3726
784	13539	3708
785	13548	3688
786	13560	3670
787	13570	3650
788	13583	3632
789	13594	3613
790	13607	3595
791	13622	3577
792	13636	3559
793	13651	3541
794	13660	3522
795	13671	3503
796	13680	3484
797	13692	3466
798	13701	3446
799	13716	3429
800	13730	3411
801	13742	3392
802	13755	3374
803	13769	3356
804	13783	3338
805	13800	3321
806	13810	3302
807	13825	3285
808	13840	3267
809	13853	3249
810	13865	3231
811	13878	3213
812	13891	3195
813	13902	3176
814	13915	3158
815	13927	3140
816	13942	3123
817	13956	3105
818	13968	3087
819	13982	3069
820	13994	3051
821	14007	3033
822	14016	3014
823	14028	2996
824	14047	2979
825	14057	2961
826	14068	2942
827	14080	2924
828	14095	2907
829	14106	2889
830	14122	2871
831	14143	2855
832	14156	2838
833	14172	2820
834	14184	2802
835	14194	2784
836	14206	2766
837	14253	2755
838	14289	2742
839	14328	2729
840	14354	2713
841	14389	2700
842	14403	2682
843	14417	2664
844	14428	2646
845	14444	2629
846	14454	2611
847	14467	2593
848	14476	2574
849	14487	2556
850	14496	2538
851	14509	2520
852	14518	2502
853	14532	2484
854	14549	2467
855	14561	2449
856	14575	2432
857	14587	2414
858	14597	2396
859	14610	2378
860	14621	2360
861	14635	2343
862	14647	2325
863	14662	2308
864	14676	2290
865	14684	2272
866	14700	2255
867	14712	2237
868	14726	2220
869	14742	2202
870	14754	2185
871	14770	2168
872	14780	2150
873	14794	2132
874	14807	2115
875	14818	2097
876	14833	2080
877	14850	2063
878	14860	2045
879	14875	2028
880	14887	2010
881	14901	1993
882	14913	1976
883	14929	1959
884	14943	1941
885	14954	1924
886	14967	1906
887	14978	1889
888	14990	1871
889	15009	1855
890	15022	1837
891	15034	1820
892	15046	1802
893	15058	1785
894	15071	1768
895	15081	1750
896	15096	1733
897	15106	1715
898	15119	1698
899	15131	1681
900	15145	1664
901	15160	1647
902	15171	1629
903	15188	1612
904	15198	1595
905	15210	1578
906	15222	1560
907	15235	1543
908	15252	1526
909	15263	1509
910	15301	1494
911	15327	1478
912	15365	1464
913	15396	1448
914	15427	1433
915	15457	1417
916	15498	1402
917	15509	1385
918	15522	1368
919	15533	1350
920	15546	1333
921	15558	1316
922	15570	1298
923	15589	1282
924	15600	1264
925	15615	1247
926	15629	1230
927	15640	1213
928	15654	1196
929	15665	1179
930	15678	1162
931	15691	1144
932	15701	1127
933	15715	1110
934	15727	1093
935	15741	1076
936	15750	1059
937	15763	1041
938	15774	1024
939	15786	1007
940	15800	990
941	15810	973
942	15824	956
943	15835	939
944	15851	922
945	15862	905
946	15874	888
947	15888	871
948	15899	854
949	15915	837
950	15926	820
951	15939	803
952	15950	786
953	15962	769
954	15974	752
955	15986	735
956	16000	718
957	16012	701
958	16026	685
959	16038	668
960	16049	651
961	16063	634
962	16075	617
963	16088	600
964	16099	583
965	16112	567
966	16126	550
967	16139	533
968	16152	516
969	16163	499
970	16177	483
971	16189	466
972	16201	449
973	16213	432
974	16225	416
975	16241	399
976	16251	382
977	16266	365
978	16276	349
979	16289	332
980	16301	315
981	16312	299
982	16327	282
983	16338	265
984	16354	249
985	16364	232
986	16395	215
987	16423	199
988	16464	183
989	16502	166
990	16534	150
991	16570	133
992	16581	116
993	16596	100
994	16620	83
995	16638	66
996	16649	50
997	16662	33
998	16676	16
999	16693	0
